macro	gr	n	OR	fisher_pvalue	pval_tr
Adaptive Immune System	gr1	129	19.9529732418268	1.03921789350714e-82	81.9832933840823
Cytokine Signaling in Immune system	gr1	34	1.90449611158098	0.00112400029524351	2.9492335746899
Innate Immune System	gr1	46	1.80779182512066	0.000500680315923626	3.30043948240535
Adaptive Immune System	gr2	115	12.4942988333176	9.39649687582945e-60	59.0270340263
Cytokine Signaling in Immune system	gr2	41	2.11763214168754	6.46508135433487e-05	4.18942600573851
Innate Immune System	gr2	41	1.36695555930648	0.0466831017882702	1.33084029562632
Adaptive Immune System	gr3	136	17.259653604869	1.2242710978619e-77	76.9121224030491
Cytokine Signaling in Immune system	gr3	50	2.4005516306709	7.94524231890572e-07	6.09989285287337
Innate Immune System	gr3	57	1.80059883769924	0.000165749901544273	3.78054672089478
